HostID	Host_Mstar	Host_Sersic	SatID	Sat_Mstar	Sat_pos
32	76981332249.4997	1.3831036631051947	156	18078626133.86601	[ 40.08523354  13.09712788 175.01947646]
32	76981332249.4997	1.3831036631051947	2227	49576000.11888784	[ -71.0213534  -194.91020188   68.82629915]
32	76981332249.4997	1.3831036631051947	2702	69807873.30562541	[128.77064593 153.16590311  39.37111647]
32	76981332249.4997	1.3831036631051947	3543	55231219.932944626	[ 125.07318158 -118.41982266  120.49004453]
32	76981332249.4997	1.3831036631051947	3795	16036328.72909655	[ 95.50641877 -27.62187316  -2.02541901]
38	73252433871.98828	2.668087978185771	758	1357774807.455164	[-102.32416551   69.78911478  232.45102924]
38	73252433871.98828	2.668087978185771	3966	39982609.55091065	[  82.15162733   98.12844216 -151.27390252]
19	129352556207.37599	nan	123	11983478926.913485	[-238.58259738  146.26955113  -18.87403158]
19	129352556207.37599	nan	397	8049486910.483081	[-20.20042179 -90.53925842 -86.10715785]
19	129352556207.37599	nan	3486	14361119.223903207	[  50.2668772   -38.14094984 -158.91095477]
19	129352556207.37599	nan	3740	142748925.86302844	[ 93.52243303 -18.35877823  82.13560493]
19	129352556207.37599	nan	3751	37080092.781513125	[214.49256596 131.98329228 -11.49326628]
29	79152135540.27214	3.2063851768861293	825	1718404613.3569627	[-76.54532535  51.52601023 -26.08015901]
29	79152135540.27214	3.2063851768861293	849	375098671.0304763	[  -2.87791303 -116.1343375   -19.17556118]
29	79152135540.27214	3.2063851768861293	986	791105503.4917579	[  36.93545925 -125.3155546   129.62518122]
29	79152135540.27214	3.2063851768861293	1731	155364099.74823886	[  39.7478604  -222.87763515  181.42960818]
29	79152135540.27214	3.2063851768861293	2847	220550018.74677244	[  16.60191905 -114.23553238  -47.45312948]
29	79152135540.27214	3.2063851768861293	3351	104314746.90243085	[-54.36772223  47.34958314  25.91528076]
27	101494976719.80847	7.855076414091557	61	30264875540.780598	[-115.09881507   78.29799196 -246.98046782]
27	101494976719.80847	7.855076414091557	857	2673607430.5742483	[  8.25734703 -23.18251202  52.93641702]
27	101494976719.80847	7.855076414091557	1282	320757149.5186952	[-159.12661862   13.9955193   102.23249279]
27	101494976719.80847	7.855076414091557	2072	263615495.278567	[ 28.74632965 -12.85430455 -15.43039799]
27	101494976719.80847	7.855076414091557	2688	204619776.42707834	[  -9.73644862  107.96374356 -115.93909684]
27	101494976719.80847	7.855076414091557	3481	51887069.07305607	[ -14.09028649   22.49742879 -287.37964076]
20	155681550788.76422	3.589546605140704	2650	112769359.19222082	[181.62556549  -5.86587732 200.19693547]
17	140694938710.00974	77.92268711912175	254	12009995800.941408	[  87.93505282 -134.63918301  -31.28101541]
17	140694938710.00974	77.92268711912175	543	4202711746.4399204	[  -3.83218147 -109.54138185   95.40492788]
17	140694938710.00974	77.92268711912175	2522	324469242.09805995	[-33.36371972 -60.64991009  36.20221853]
17	140694938710.00974	77.92268711912175	3113	21638790.39945218	[-185.12641237   84.66606767   47.0415421 ]
17	140694938710.00974	77.92268711912175	3251	148266609.86246526	[  16.43755309 -153.49908808   63.13287318]
34	63719996643.262985	3.57533039523514	3162	41077603.76786604	[  37.04669374   92.95645587 -150.59923935]
31	76518175090.24307	2.2215781424561563	119	27359074646.53853	[ 24.58421557  47.01843485 -43.23236301]
31	76518175090.24307	2.2215781424561563	485	3633698288.008845	[ 98.1200609  -45.34986292  19.00612922]
31	76518175090.24307	2.2215781424561563	744	801138657.0208814	[-154.59813991   35.57550232   88.44179677]
31	76518175090.24307	2.2215781424561563	3869	102166143.05117878	[63.05972747 -8.00954822 -6.38346464]
31	76518175090.24307	2.2215781424561563	627	1332385679.984092	[ -75.99094005   51.71208414 -215.11511733]
31	76518175090.24307	2.2215781424561563	3185	100541681.32928291	[-1.22338300e+02 -1.38292274e-01 -1.40602953e+02]
18	105357615230.77673	nan	429	7162164107.851244	[ 67.97378904 129.01118326  15.20250323]
18	105357615230.77673	nan	487	5564687984.565936	[-95.97324796 -90.7259614   -2.21035263]
18	105357615230.77673	nan	898	1567997584.0600638	[-64.12090292 -53.26292199 166.68706507]
18	105357615230.77673	nan	1589	671262049.1623319	[ 74.50368066  55.62813956 -42.4250024 ]
18	105357615230.77673	nan	2515	27043481.78356065	[ 146.83765524 -245.03429307  -73.18026779]
18	105357615230.77673	nan	2663	579439471.7355385	[ 37.24538671  53.23003065 -33.88587948]
30	72031432050.18669	4.547073994681007	54	44279278735.407455	[ 170.47853921  130.97690538 -149.17435582]
30	72031432050.18669	4.547073994681007	87	37655545792.16899	[-54.88846133 114.81193466 -29.53416412]
22	145606286995.03793	4.588839158768347	2578	30175955.488595877	[-177.63126075   49.42482278  228.93666502]
22	145606286995.03793	4.588839158768347	513	4160275338.908796	[  3.79908371 121.5493529  -19.43768913]
22	145606286995.03793	4.588839158768347	1219	109745851.1921244	[-252.19673641   74.76623992   18.45125036]
40	64971872804.29447	9.080921667168473	591	1413631856.1183295	[183.67747894 207.25821725 -28.04570359]
40	64971872804.29447	9.080921667168473	2444	11646252.673722101	[116.63441139  63.28023807 174.25782846]
40	64971872804.29447	9.080921667168473	2450	117354953.25817853	[-95.31156719 -86.85242501 -91.74769027]
40	64971872804.29447	9.080921667168473	2569	182612200.17970204	[ 71.78600609  21.72271457 103.80904105]
24	100619088994.07574	nan	293	9262105882.411308	[ -1.29507135  18.72627288 132.22220815]
24	100619088994.07574	nan	2167	139396710.92050332	[-62.05994117  61.21696144 189.45545367]
24	100619088994.07574	nan	2979	282047081.4998909	[ 76.18173425  -5.06515338 -42.13850529]
24	100619088994.07574	nan	3654	125753558.89255513	[ 35.65148649 109.32266655  12.34486625]
33	52329213269.14785	5.698136537618188	1999	75259378.28548428	[-20.57494267 249.9020862  -61.50857435]
33	52329213269.14785	5.698136537618188	2665	438077165.85986644	[-13.54728247 -32.76102091  11.39795315]
33	52329213269.14785	5.698136537618188	3837	53191086.637327	[ -4.49314614 142.97123012  -6.42174637]
