HostID	Host_Mstar	Host_Sersic	SatID	Sat_Mstar	Sat_pos
118	35376385539.08122	nan	3495	166521400.4436562	[-281.33266012   -3.55677521  -20.13249513]
118	35376385539.08122	nan	3957	88930720.04358421	[ -92.39259956 -152.16796709 -190.98727701]
115	16667520152.897722	3.2699454004132273	3041	34621523.24479797	[ 22.4214497  -61.39902018 130.97187902]
102	16585712731.484255	4.78463350467737	765	650576947.029228	[167.87664893 -95.03197023 228.97508864]
102	16585712731.484255	4.78463350467737	1826	40879393.078339934	[120.10416864 -65.47919374  61.43125411]
102	16585712731.484255	4.78463350467737	2843	10340058.683801051	[ 91.73396879 160.81994331 126.93280837]
89	28001813624.22265	1.5015943595390735	1285	151759384.68988836	[ 167.45065452 -180.34507389  118.74591916]
206	10498744741.676086	1.1422012176430694	2714	13460871.523415621	[-111.35342167 -105.28584907  250.20722551]
99	17617939706.88579	2.46745295857945	1048	146124777.81132913	[ -13.48693127 -105.0410051   -71.08529229]
103	15038301568.810268	4.636324148775429	1243	68215680.47304851	[-161.51455662  -75.98809827  215.19543642]
103	15038301568.810268	4.636324148775429	1617	18808788.405427594	[-153.1572563   -80.26391568  -42.10015343]
126	12525731013.891907	2.2281376906774093	1482	300899055.4284271	[ 51.73003667  -6.04486691 -16.15611343]
48	49120819449.74623	2.206182106286377	848	1194212255.9938345	[-38.94184793  63.96128699  25.48294135]
48	49120819449.74623	2.206182106286377	3691	42676469.65738069	[-190.10772498   53.38930987  -76.14539717]
63	29023642810.037327	11.963436584106292	537	1529044072.9455414	[152.16881963  15.37689383  54.82924702]
63	29023642810.037327	11.963436584106292	798	1357228560.276162	[-11.27873709 -67.77308967  38.83681482]
63	29023642810.037327	11.963436584106292	2918	34460795.42496587	[  40.35053457   57.10883391 -144.93837301]
29	79152135540.27214	3.2063851768861293	825	1718404613.3569627	[-76.54532535  51.52601023 -26.08015901]
29	79152135540.27214	3.2063851768861293	849	375098671.0304763	[  -2.87791303 -116.1343375   -19.17556118]
29	79152135540.27214	3.2063851768861293	986	791105503.4917579	[  36.93545925 -125.3155546   129.62518122]
29	79152135540.27214	3.2063851768861293	1731	155364099.74823886	[  39.7478604  -222.87763515  181.42960818]
29	79152135540.27214	3.2063851768861293	2847	220550018.74677244	[  16.60191905 -114.23553238  -47.45312948]
29	79152135540.27214	3.2063851768861293	3351	104314746.90243085	[-54.36772223  47.34958314  25.91528076]
61	30264875540.780598	5.0485798717975285	27	101494976719.80847	[115.09881507 -78.29799196 246.98046782]
61	30264875540.780598	5.0485798717975285	2072	263615495.278567	[143.84514472 -91.1522965  231.55006983]
61	30264875540.780598	5.0485798717975285	2688	204619776.42707834	[105.36236645  29.66575161 131.04137098]
61	30264875540.780598	5.0485798717975285	3481	51887069.07305607	[101.00852858 -55.80056317 -40.39917294]
100	23101630756.732285	2.2522078944220185	1072	46476330.91617864	[ -46.78476852 -289.12587501  -56.34721451]
78	27681959003.452	1.9920011939439963	781	393706637.55093557	[ 60.12477963 176.47052149 -49.72132766]
73	41546374467.41286	nan	355	2359412620.957832	[-203.23456575  200.85341974   75.09249476]
73	41546374467.41286	nan	418	3906603173.2070513	[  53.0280097  -117.02935801  113.44088285]
73	41546374467.41286	nan	2741	41919036.73904703	[261.50751964 -82.03812396   4.76748213]
108	23483226051.247654	9.496758423978678	2405	47740429.38844626	[-38.94643498 -88.10376446 -45.54917166]
34	63719996643.262985	3.57533039523514	3162	41077603.76786604	[  37.04669374   92.95645587 -150.59923935]
205	14488346244.082151	2.6546400845429985	1986	24304460.461455762	[-100.83303554  -32.38206454 -160.82978892]
52	23222913729.967773	7.6685691216324	1367	140676299.0777733	[  66.4804518   -29.77445372 -131.89243857]
52	23222913729.967773	7.6685691216324	1960	373664183.2219823	[-22.59804573  64.31031414  35.84688277]
52	23222913729.967773	7.6685691216324	2024	97677097.09305356	[-117.85878204  152.09260414   -3.64916959]
52	23222913729.967773	7.6685691216324	2565	48904968.41407649	[-14.52777314 -72.29041514  45.79432555]
52	23222913729.967773	7.6685691216324	2916	339379236.44489187	[ 20.27011323 -29.39237152  28.01684063]
114	19648466320.688488	2.0425795595432343	346	6517470103.816438	[97.37167104 34.35312517  7.53454886]
94	14841609942.78355	3.8759926465830796	1935	101435046.6910393	[  -4.24485718 -120.96571936   61.49849472]
40	64971872804.29447	9.080921667168473	591	1413631856.1183295	[183.67747894 207.25821725 -28.04570359]
40	64971872804.29447	9.080921667168473	2444	11646252.673722101	[116.63441139  63.28023807 174.25782846]
40	64971872804.29447	9.080921667168473	2450	117354953.25817853	[-95.31156719 -86.85242501 -91.74769027]
40	64971872804.29447	9.080921667168473	2569	182612200.17970204	[ 71.78600609  21.72271457 103.80904105]
64	36340644294.095924	1.5534165268583267	3222	10628136.545629863	[ 33.47379871  24.43186577 -87.75502758]
202	10409395657.808134	2.2337624318027025	1261	219951053.2522344	[-164.81951869  -39.88649478  216.43168365]
