HostID	Host_Mstar	SatID	Sat_Mstar	Sat_pos
18	105357615230.77673	2663	579439471.7355385	[ 37.24538671  53.23003065 -33.88587948]
18	105357615230.77673	2721	12148296.302231383	[-56.54733815 -67.89512728 369.4004527 ]
30	72031432050.18669	54	44279278735.407455	[ 170.47853921  130.97690538 -149.17435582]
30	72031432050.18669	87	37655545792.16899	[-54.88846133 114.81193466 -29.53416412]
30	72031432050.18669	2219	22795695.331890956	[-239.94507419  186.42747675  -21.61367383]
30	72031432050.18669	2630	15607835.197562099	[ 289.09624743  -48.02872161 -226.15694043]
40	64971872804.29447	15	171753585058.53677	[154.04584706 270.42973096 -78.79504244]
40	64971872804.29447	591	1413631856.1183295	[183.67747894 207.25821725 -28.04570359]
40	64971872804.29447	2444	11646252.673722101	[116.63441139  63.28023807 174.25782846]
40	64971872804.29447	2450	117354953.25817853	[-95.31156719 -86.85242501 -91.74769027]
40	64971872804.29447	2569	182612200.17970204	[ 71.78600609  21.72271457 103.80904105]
24	100619088994.07574	293	9262105882.411308	[ -1.29507135  18.72627288 132.22220815]
24	100619088994.07574	2167	139396710.92050332	[-62.05994117  61.21696144 189.45545367]
24	100619088994.07574	2979	282047081.4998909	[ 76.18173425  -5.06515338 -42.13850529]
24	100619088994.07574	3654	125753558.89255513	[ 35.65148649 109.32266655  12.34486625]
33	52329213269.14785	1999	75259378.28548428	[-20.57494267 249.9020862  -61.50857435]
33	52329213269.14785	2665	438077165.85986644	[-13.54728247 -32.76102091  11.39795315]
33	52329213269.14785	2676	63668237.05395065	[ -16.20683192  294.46369462 -105.70010305]
33	52329213269.14785	3358	12172148.962445032	[ 169.70505909 -234.69636753  184.74849709]
33	52329213269.14785	3837	53191086.637327	[ -4.49314614 142.97123012  -6.42174637]
