log10Mvir,n_particles,sim
7.595275711802099,1371.0,h148
7.594006707846991,1367.0,h148
7.591776711276067,1360.0,h148
7.585990583835894,1342.0,h148
7.580126325411582,1324.0,h148
7.572849538551382,1302.0,h148
7.57117873902073,1297.0,h148
7.566803865657238,1284.0,h148
7.553407225775426,1245.0,h148
7.551309683551716,1239.0,h148
7.548036679402604,1235.0,h148
7.5399450730031985,1207.0,h148
7.537058098681688,1199.0,h148
7.536694769440076,1198.0,h148
7.534150535186224,1191.0,h148
7.530856408131023,1182.0,h148
7.5301202624495085,1180.0,h148
7.527535815021379,1173.0,h148
7.5253091924390345,1167.0,h148
7.523817976482351,1163.0,h148
7.523817976482351,1163.0,h148
7.5185586830650495,1149.0,h148
7.5178013758900795,1147.0,h148
7.515143668470286,1140.0,h148
7.5124682622663945,1133.0,h148
7.512085094016112,1132.0,h148
7.507456460861956,1120.0,h148
7.504733127061004,1113.0,h148
7.504733127061004,1113.0,h148
7.4972559378832555,1094.0,h148
7.4872161737088385,1069.0,h148
7.4855879952629945,1065.0,h148
7.476106716840191,1042.0,h148
7.472759373849331,1034.0,h148
7.470231090600276,1028.0,h148
7.469808766113886,1027.0,h148
7.4689628830874595,1025.0,h148
7.467738300425611,1023.0,h148
7.454451531154433,1009.0,h148
7.462129850609601,1009.0,h148
7.459538735926268,1003.0,h148
7.452556127023987,987.0,h148
7.447688167335074,976.0,h148
7.447243330809527,975.0,h148
7.4445615799566145,969.0,h148
7.443216034165833,966.0,h148
7.441413891929001,962.0,h148
7.441413891929001,962.0,h148
7.4400569665313885,959.0,h148
7.43778701666663,954.0,h148
7.435505139969342,949.0,h148
7.435505139969342,949.0,h148
7.434588063662235,947.0,h148
7.434588063662235,947.0,h148
7.434588063662235,947.0,h148
7.434129597426237,946.0,h148
7.433670646695403,945.0,h148
7.430441115378976,938.0,h148
7.429978248073312,937.0,h148
7.4295148869212895,936.0,h148
7.427187388355394,931.0,h148
7.423439214852268,923.0,h148
7.4172789997541635,910.0,h148
7.4148864803873895,905.0,h148
7.413445622287618,902.0,h148
7.412480707634304,900.0,h148
7.410061533842056,895.0,h148
7.409089062600409,893.0,h148
7.407139263740657,889.0,h148
7.406161924090695,887.0,h148
7.4046900679189225,884.0,h148
7.402720373987717,880.0,h148
7.391219247513044,857.0,h148
7.388678337179575,852.0,h148
7.345475674859815,850.0,h148
7.387656728620143,850.0,h148
7.3866344942192494,848.0,h148
7.386122473306907,847.0,h148
7.384580987185691,844.0,h148
7.381481503134716,838.0,h148
7.3799252370241435,835.0,h148
7.377839682911447,831.0,h148
7.375219034656869,826.0,h148
7.375219034656869,826.0,h148
7.370461274639423,817.0,h148
7.369927961659711,816.0,h148
7.367793722614875,812.0,h148
7.367258986118464,811.0,h148
7.366187533837873,809.0,h148
7.360241140071361,798.0,h148
7.358604819687972,795.0,h148
7.356964219772678,792.0,h148
7.352554886585072,784.0,h148
7.351444555965697,782.0,h148
7.350889292301962,781.0,h148
7.348100326457964,776.0,h148
7.344728181558344,770.0,h148
7.341899238059467,765.0,h148
7.34076327339021,763.0,h148
7.329226975778368,743.0,h148
7.326294887818489,738.0,h148
7.325706497548769,737.0,h148
7.323934468680452,734.0,h148
7.323342869579508,733.0,h148
7.322748397952523,732.0,h148
7.319772091426363,727.0,h148
7.3173758541696206,723.0,h148
7.316775246846872,722.0,h148
7.3155715346144525,720.0,h148
7.313757578797018,717.0,h148
7.308884414422017,709.0,h148
7.308271939945946,708.0,h148
7.304574534949614,702.0,h148
7.303955947748516,701.0,h148
7.303336478206032,700.0,h148
7.298970909176952,693.0,h148
7.298344282940881,692.0,h148
7.296456766641861,689.0,h148
7.296456766641861,689.0,h148
7.296456766641861,689.0,h148
7.29519531673409,687.0,h148
7.294563215113502,686.0,h148
7.293927984879438,685.0,h148
7.293294034655324,684.0,h148
7.292659157685684,683.0,h148
7.292023351257005,682.0,h148
7.2901081011335735,679.0,h148
7.2901081011335735,679.0,h148
7.288184367279278,676.0,h148
7.287541971026004,675.0,h148
7.284313402084405,670.0,h148
7.283665250119988,669.0,h148
7.283013865949649,668.0,h148
7.281712699794065,666.0,h148
7.279096329747602,662.0,h148
7.277783355537337,660.0,h148
7.27447883132474,655.0,h148
7.271818381611661,651.0,h148
7.271818381611661,651.0,h148
7.270483184914419,649.0,h148
7.263740192111693,639.0,h148
7.263058202817849,638.0,h148
7.262377514487875,637.0,h148
7.261012928826978,635.0,h148
7.261012928826978,635.0,h148
7.260326639935196,634.0,h148
7.259641653428861,633.0,h148
7.2575777876600505,630.0,h148
7.2575777876600505,630.0,h148
7.255506478536928,627.0,h148
7.255506478536928,627.0,h148
7.254813841034874,626.0,h148
7.25411767794575,625.0,h148
7.252726848890775,623.0,h148
7.2513291166408065,621.0,h148
7.250629779307539,620.0,h148
7.249929314026191,619.0,h148
7.249227717152388,618.0,h148
7.247818659453522,616.0,h148
7.239994794647937,605.0,h148
7.239994794647937,605.0,h148
7.238555410037923,603.0,h148
7.237835180608895,602.0,h148
7.237835180608895,602.0,h148
7.2363886085887925,600.0,h148
7.235664773776095,599.0,h148
7.2349397305398995,598.0,h148
7.255508889977853,596.0,h148
7.233483465732289,596.0,h148
7.227616792824108,588.0,h148
7.225394581193171,585.0,h148
7.223905899996898,583.0,h148
7.22166717657151,580.0,h148
7.22091575219351,579.0,h148
7.220165641326378,578.0,h148
7.214875624530175,571.0,h148
7.214112346507721,570.0,h148
7.209517695364492,564.0,h148
7.209517695364492,564.0,h148
7.20874761953258,563.0,h148
7.207973485448865,562.0,h148
7.207973485448865,562.0,h148
